Home Team,Away Team,Kick Off,Date,Stadium,Competition
Derby County,Plymouth Argyle,3:00pm, Saturday 3rd September 2022,Pride Park Stadium, Sky Bet League One
Morecambe,Derby County,3:00pm, Saturday 10th September 2022,Mazuma Stadium, Sky Bet League One
Lincoln City,Derby County,7:45pm, Tuesday 13th September 2022,LNER Stadium, Sky Bet League One
Derby County,Wycombe Wanderers,3:00pm, Saturday 17th September 2022,Pride Park Stadium, Sky Bet League One
Derby County,Manchester City U21,7:00pm, Tuesday 20th September 2022,Pride Park Stadium, Papa Johns Trophy Northern Group F
Derby County,Cheltenham Town,3:00pm, Saturday 24th September 2022,Pride Park Stadium, Sky Bet League One
Cambridge United,Derby County,3:00pm, Saturday 1st October 2022,The Abbey Stadium, Sky Bet League One
Derby County,Port Vale,3:00pm, Saturday 8th October 2022,Pride Park Stadium, Sky Bet League One
Accrington Stanley,Derby County,3:00pm, Saturday 15th October 2022,Wham Stadium, Sky Bet League One
Mansfield Town,Derby County,7:00pm, Tuesday 18th October 2022,One Call Stadium, Papa Johns Trophy Northern Group F
Ipswich Town,Derby County,8:00pm, Friday 21st October 2022,Portman Road, Sky Bet League One
Derby County,Exeter City,7:45pm, Tuesday 25th October 2022,Pride Park Stadium, Sky Bet League One
Derby County,Bristol Rovers,3:00pm, Saturday 29th October 2022,Pride Park Stadium, Sky Bet League One
Liverpool,Derby County,7:45pm, Tuesday 8th November 2022,Anfield, Carabao Cup Round 3
Milton Keynes Dons,Derby County,3:00pm, Saturday 12th November 2022,Stadium:mk, Sky Bet League One
Portsmouth,Derby County,3:00pm, Saturday 19th November 2022,Fratton Park, Sky Bet League One
Derby County,Sheffield Wednesday,3:00pm, Saturday 3rd December 2022,Pride Park Stadium, Sky Bet League One
Burton Albion,Derby County,3:00pm, Saturday 10th December 2022,Pirelli Stadium, Sky Bet League One
Derby County,Forest Green Rovers,3:00pm, Saturday 17th December 2022,Pride Park Stadium, Sky Bet League One
Bolton Wanderers,Derby County,3:00pm, Monday 26th December 2022,University of Bolton Stadium, Sky Bet League One
Derby County,Cambridge United,7:45pm, Thursday 29th December 2022,Pride Park Stadium, Sky Bet League One
Derby County,Accrington Stanley,3:00pm, Sunday 1st January 2023,Pride Park Stadium, Sky Bet League One
Port Vale,Derby County,3:00pm, Saturday 7th January 2023,Vale Park, Sky Bet League One
Cheltenham Town,Derby County,3:00pm, Saturday 14th January 2023,Whaddon Road Ground, Sky Bet League One
Derby County,Bolton Wanderers,3:00pm, Saturday 21st January 2023,Pride Park Stadium, Sky Bet League One
Plymouth Argyle,Derby County,3:00pm, Saturday 28th January 2023,Home Park, Sky Bet League One
Derby County,Morecambe,3:00pm, Saturday 4th February 2023,Pride Park Stadium, Sky Bet League One
Wycombe Wanderers,Derby County,3:00pm, Saturday 11th February 2023,Adams Park, Sky Bet League One
Derby County,Lincoln City,7:45pm, Tuesday 14th February 2023,Pride Park Stadium, Sky Bet League One
Derby County,Charlton Athletic,3:00pm, Saturday 18th February 2023,Pride Park Stadium, Sky Bet League One
Barnsley,Derby County,3:00pm, Saturday 25th February 2023,Oakwell Stadium, Sky Bet League One
Derby County,Shrewsbury Town,3:00pm, Saturday 4th March 2023,Pride Park Stadium, Sky Bet League One
Oxford United,Derby County,3:00pm, Saturday 11th March 2023,The Kassam Stadium, Sky Bet League One
Derby County,Fleetwood Town,3:00pm, Saturday 18th March 2023,Pride Park Stadium, Sky Bet League One
Peterborough United,Derby County,3:00pm, Saturday 25th March 2023,Weston Homes Stadium, Sky Bet League One
Derby County,Ipswich Town,3:00pm, Saturday 1st April 2023,Pride Park Stadium, Sky Bet League One
Forest Green Rovers,Derby County,3:00pm, Friday 7th April 2023,The innocent New Lawn Stadium, Sky Bet League One
Derby County,Milton Keynes Dons,3:00pm, Monday 10th April 2023,Pride Park Stadium, Sky Bet League One
Bristol Rovers,Derby County,3:00pm, Saturday 15th April 2023,Memorial Stadium, Sky Bet League One
Exeter City,Derby County,7:45pm, Tuesday 18th April 2023,St James Park, Sky Bet League One
Derby County,Burton Albion,3:00pm, Saturday 22nd April 2023,Pride Park Stadium, Sky Bet League One
Derby County,Portsmouth,3:00pm, Saturday 29th April 2023,Pride Park Stadium, Sky Bet League One
Sheffield Wednesday,Derby County,3:00pm, Saturday 6th May 2023,Hillsborough, Sky Bet League One
