Date,Home Team,Away Team,Result,Score,Season
2023-08-05,Derby County,Wigan Athletic,L,1-2,2023-24
2023-08-08,Derby County,Blackpool,L,0-2,2023-24
2023-08-12,Burton Albion,Derby County,W,0-3,2023-24
2023-08-15,Derby County,Oxford United,L,1-2,2023-24
2023-08-19,Derby County,Fleetwood Town,W,1-0,2023-24
2023-08-26,Peterborough United,Derby County,W,2-4,2023-24
2023-09-02,Bolton Wanderers,Derby County,L,2-1,2023-24
